CustomerID,Recency,Frequency,Monetary,MonetaryLog,FirstPurchase,LastPurchase,UniqueProducts,TotalQuantity,AvgQuantity,CustomerLifetime,AvgSpendPerDay,Cluster,Country
12346.0,326,1,77183.6,11.253955234248428,2011-01-18 10:01:00,2011-01-18 10:01:00,1,74215,74215.0,0,74215.0,,United Kingdom
12347.0,2,7,4310.0,8.368925174747135,2010-12-07 14:57:00,2011-12-07 15:52:00,103,2458,13.505494505494505,365,6.734246575342466,0.0,Iceland
12348.0,75,4,1797.24,7.494563687769957,2010-12-16 19:09:00,2011-09-25 13:13:00,22,2341,75.51612903225806,282,8.301418439716311,1.0,Finland
12349.0,19,1,1757.55,7.472244884833674,2011-11-21 09:51:00,2011-11-21 09:51:00,73,631,8.643835616438356,0,631.0,2.0,Italy
12350.0,310,1,334.4,5.815323849389109,2011-02-02 16:01:00,2011-02-02 16:01:00,17,197,11.588235294117647,0,197.0,2.0,Norway
12352.0,36,8,2506.04,7.826858053356098,2011-02-16 12:33:00,2011-11-03 14:37:00,59,536,6.305882352941176,260,2.0615384615384613,1.0,Norway
12353.0,204,1,89.0,4.499809670330265,2011-05-19 17:47:00,2011-05-19 17:47:00,4,20,5.0,0,20.0,2.0,Bahrain
12354.0,232,1,1079.4,6.985086621918461,2011-04-21 13:11:00,2011-04-21 13:11:00,58,530,9.137931034482758,0,530.0,2.0,Spain
12355.0,214,1,459.4,6.132095676847728,2011-05-09 13:49:00,2011-05-09 13:49:00,13,240,18.46153846153846,0,240.0,2.0,Bahrain
12356.0,23,3,2811.43,7.941804157314053,2011-01-18 09:50:00,2011-11-17 08:40:00,53,1591,26.966101694915253,302,5.268211920529802,1.0,Portugal
12357.0,33,1,6207.67,8.733701981297274,2011-11-06 16:07:00,2011-11-06 16:07:00,131,2708,20.671755725190838,0,2708.0,2.0,Switzerland
12358.0,2,2,1168.06,7.063955286074528,2011-07-12 10:04:00,2011-12-08 10:26:00,13,248,13.052631578947368,149,1.6644295302013423,1.0,Austria
12359.0,58,4,6372.58,8.759916600117213,2011-01-12 12:43:00,2011-10-13 12:47:00,214,1622,6.540322580645161,274,5.91970802919708,0.0,Cyprus
12360.0,52,3,2662.06,7.887231116540211,2011-05-23 09:43:00,2011-10-18 15:22:00,105,1165,9.031007751937985,148,7.871621621621622,1.0,Austria
12361.0,287,1,189.9,5.251749730731702,2011-02-25 13:51:00,2011-02-25 13:51:00,10,91,9.1,0,91.0,2.0,Belgium
12362.0,3,10,5226.23,8.56163678004062,2011-02-17 10:30:00,2011-12-06 15:40:00,201,2229,8.3796992481203,292,7.633561643835616,0.0,Belgium
12363.0,110,2,552.0,6.315358001522335,2011-04-11 13:29:00,2011-08-22 10:18:00,23,408,17.73913043478261,132,3.090909090909091,1.0,Unspecified
12364.0,8,4,1313.1,7.180907299649593,2011-08-19 15:24:00,2011-12-02 10:22:00,70,1506,17.71764705882353,104,14.48076923076923,1.0,Belgium
12365.0,291,2,641.38,6.465180028897591,2011-02-21 13:51:00,2011-02-21 14:04:00,22,174,7.909090909090909,0,174.0,2.0,Cyprus
12367.0,4,1,168.9,5.135210028677887,2011-12-05 16:48:00,2011-12-05 16:48:00,11,173,15.727272727272727,0,173.0,2.0,Denmark
12370.0,51,4,3545.69,8.173770053153254,2010-12-14 12:58:00,2011-10-19 14:51:00,143,2353,14.089820359281438,309,7.614886731391586,0.0,Cyprus
12371.0,45,2,1887.96,7.543781692052325,2011-10-11 10:43:00,2011-10-26 10:16:00,63,591,9.380952380952381,14,42.214285714285715,1.0,Switzerland
12372.0,72,3,1298.04,7.169380809114136,2011-02-16 12:46:00,2011-09-29 12:12:00,34,794,15.26923076923077,224,3.544642857142857,1.0,Denmark
12373.0,311,1,364.6,5.901539839579995,2011-02-01 13:10:00,2011-02-01 13:10:00,14,197,14.071428571428571,0,197.0,2.0,Austria
